Note,FileSize,FileNumbers,Network,Source,Destination,Bandwidth,RTT,BufferSize,P,CC,PP,FAST,Throughput,TestBed,Protocol,Version,Dedicated,TransferDuration,CPU,MEM,DiskBW,Power
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,5,ON,340.364812,REAL,GridFTP,gt-5.0.3,no,3.0085366169,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,6,ON,347.9600296,REAL,GridFTP,gt-5.0.3,no,2.9428667459,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,7,ON,349.1660674,REAL,GridFTP,gt-5.0.3,no,2.9327019307,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,8,ON,343.4571706,REAL,GridFTP,gt-5.0.3,no,2.9814488899,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,9,ON,344.8411369,REAL,GridFTP,gt-5.0.3,no,2.9694833082,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,OFF,59.57286611,REAL,GridFTP,gt-5.0.3,no,17.1890336468,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,2,0,OFF,119.2093828,REAL,GridFTP,gt-5.0.3,no,8.5899278727,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,3,0,OFF,179.0684725,REAL,GridFTP,gt-5.0.3,no,5.7184829116,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,4,0,OFF,234.1055116,REAL,GridFTP,gt-5.0.3,no,4.3740960775,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,5,0,OFF,282.4978478,REAL,GridFTP,gt-5.0.3,no,3.6248063763,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,6,0,OFF,325.4671884,REAL,GridFTP,gt-5.0.3,no,3.1462464927,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,7,0,OFF,367.9468625,REAL,GridFTP,gt-5.0.3,no,2.7830105495,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,8,0,OFF,403.1186537,REAL,GridFTP,gt-5.0.3,no,2.5401950284,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,9,0,OFF,431.5779058,REAL,GridFTP,gt-5.0.3,no,2.3726886531,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,10,0,OFF,467.1200427,REAL,GridFTP,gt-5.0.3,no,2.1921559907,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,ON,157.5044331,REAL,GridFTP,gt-5.0.3,no,6.5014043087,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,2,0,ON,294.6096858,REAL,GridFTP,gt-5.0.3,no,3.4757852486,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,3,0,ON,406.7217396,REAL,GridFTP,gt-5.0.3,no,2.5176918279,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,4,0,ON,508.2384971,REAL,GridFTP,gt-5.0.3,no,2.0148021172,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,5,0,ON,585.5502152,REAL,GridFTP,gt-5.0.3,no,1.7487825526,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,6,0,ON,650.4617917,REAL,GridFTP,gt-5.0.3,no,1.5742661799,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,7,0,ON,707.1405474,REAL,GridFTP,gt-5.0.3,no,1.448085538,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,8,0,ON,742.133665,REAL,GridFTP,gt-5.0.3,no,1.3798053481,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,9,0,ON,756.3894143,REAL,GridFTP,gt-5.0.3,no,1.3538000144,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,10,0,ON,780.5831025,REAL,GridFTP,gt-5.0.3,no,1.3118398243,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,OFF,157.137798,REAL,GridFTP,gt-5.0.3,no,6.5165734345,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,2,1,0,OFF,159.0762874,REAL,GridFTP,gt-5.0.3,no,6.4371630539,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,3,1,0,OFF,158.5115773,REAL,GridFTP,gt-5.0.3,no,6.4600959592,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,4,1,0,OFF,158.7002382,REAL,GridFTP,gt-5.0.3,no,6.4524162762,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,5,1,0,OFF,159.4322995,REAL,GridFTP,gt-5.0.3,no,6.4227888779,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,6,1,0,OFF,158.5361249,REAL,GridFTP,gt-5.0.3,no,6.4590956834,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,7,1,0,OFF,158.7409494,REAL,GridFTP,gt-5.0.3,no,6.4507614694,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,8,1,0,OFF,158.5258173,REAL,GridFTP,gt-5.0.3,no,6.459515664,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,9,1,0,OFF,158.1100259,REAL,GridFTP,gt-5.0.3,no,6.476502639,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,10,1,0,OFF,157.6944399,REAL,GridFTP,gt-5.0.3,no,6.493570735,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,ON,155.651199,REAL,GridFTP,gt-5.0.3,no,6.5788121555,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,2,1,0,ON,159.431202,REAL,GridFTP,gt-5.0.3,no,6.4228330914,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,3,1,0,ON,158.3661287,REAL,GridFTP,gt-5.0.3,no,6.4660291213,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,4,1,0,ON,159.0587313,REAL,GridFTP,gt-5.0.3,no,6.4378735555,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,5,1,0,ON,158.0519339,REAL,GridFTP,gt-5.0.3,no,6.4788830781,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,6,1,0,ON,158.4315624,REAL,GridFTP,gt-5.0.3,no,6.4633585915,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,7,1,0,ON,158.3809825,REAL,GridFTP,gt-5.0.3,no,6.4654227031,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,8,1,0,ON,157.0590561,REAL,GridFTP,gt-5.0.3,no,6.5198405328,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,9,1,0,ON,157.6912863,REAL,GridFTP,gt-5.0.3,no,6.4937005971,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,10,1,0,ON,157.0211253,REAL,GridFTP,gt-5.0.3,no,6.5214154977,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,OFF,164.1855567,REAL,GridFTP,gt-5.0.3,no,6.2368458017,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,2,1,OFF,521.6408128,REAL,GridFTP,gt-5.0.3,no,1.9630365855,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,3,2,OFF,737.407458,REAL,GridFTP,gt-5.0.3,no,1.3886488249,,,,
