Note,FileSize,FileCount,Network,Source,Destination,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,TestBed,Protocol,Version,Dedicated,Duration,CPU,MEM,DiskBW,Power
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,4,3,OFF,143.09861,REAL,GridFTP,gt-5.0.3,no,7.155904589,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,5,4,OFF,128.559997,REAL,GridFTP,gt-5.0.3,no,7.965152644,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,6,5,OFF,112.8598669,REAL,GridFTP,gt-5.0.3,no,9.073198721,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,7,6,OFF,132.6136494,REAL,GridFTP,gt-5.0.3,no,7.721678761,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,8,7,OFF,73.51726703,REAL,GridFTP,gt-5.0.3,no,13.92870058,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,9,8,OFF,50.50744999,REAL,GridFTP,gt-5.0.3,no,20.27423678,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,10,9,OFF,81.4007184,REAL,GridFTP,gt-5.0.3,no,12.57974156,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,0,OFF,21.93819538,REAL,GridFTP,gt-5.0.3,no,46.67658311,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,2,1,1,OFF,51.55661609,REAL,GridFTP,gt-5.0.3,no,19.8616604,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,3,1,2,OFF,69.51909015,REAL,GridFTP,gt-5.0.3,no,14.729767,,,,
